transcriptID_trim,log2FoldChange
TRINITY_DN8164_c0_g1::TRINITY_DN8164_c0_g1_i13,2.53855571391419
TRINITY_DN2266_c0_g1::TRINITY_DN2266_c0_g1_i4,-4.36920840521976
TRINITY_DN1306_c0_g1::TRINITY_DN1306_c0_g1_i15,3.06332005987667
TRINITY_DN30_c0_g2::TRINITY_DN30_c0_g2_i1,3.69229387058393
TRINITY_DN33_c0_g1::TRINITY_DN33_c0_g1_i18,3.72486196403257
TRINITY_DN1306_c0_g1::TRINITY_DN1306_c0_g1_i3,3.72557147210707
TRINITY_DN1306_c0_g1::TRINITY_DN1306_c0_g1_i1,4.11320800150005
TRINITY_DN9365_c0_g1::TRINITY_DN9365_c0_g1_i1,3.54949270075376
TRINITY_DN11685_c0_g1::TRINITY_DN11685_c0_g1_i2,2.94952605127839
TRINITY_DN1306_c0_g1::TRINITY_DN1306_c0_g1_i13,4.2014385593673
TRINITY_DN258_c0_g1::TRINITY_DN258_c0_g1_i18,3.67463098719706
TRINITY_DN1963_c0_g1::TRINITY_DN1963_c0_g1_i9,2.18556750593567
TRINITY_DN258_c0_g1::TRINITY_DN258_c0_g1_i13,3.18786583675598
TRINITY_DN3555_c0_g1::TRINITY_DN3555_c0_g1_i1,2.43463962929055
TRINITY_DN574_c0_g1::TRINITY_DN574_c0_g1_i15,2.91589224865086
TRINITY_DN30_c0_g2::TRINITY_DN30_c0_g2_i1,3.91625955770593
TRINITY_DN1890_c0_g1::TRINITY_DN1890_c0_g1_i13,-1.40526835572166
TRINITY_DN10209_c0_g2::TRINITY_DN10209_c0_g2_i3,2.76104962906386
TRINITY_DN14512_c0_g1::TRINITY_DN14512_c0_g1_i1,2.91826153176468
TRINITY_DN2266_c0_g1::TRINITY_DN2266_c0_g1_i3,-3.30441449500799
TRINITY_DN2161_c0_g1::TRINITY_DN2161_c0_g1_i9,1.72290561951478
TRINITY_DN2266_c0_g1::TRINITY_DN2266_c0_g1_i1,-3.30441449500799
TRINITY_DN9244_c0_g1::TRINITY_DN9244_c0_g1_i19,-1.3375562933315
TRINITY_DN2173_c0_g1::TRINITY_DN2173_c0_g1_i2,2.63325476800302
TRINITY_DN2132_c0_g1::TRINITY_DN2132_c0_g1_i10,2.79733257888815
TRINITY_DN2865_c3_g1::TRINITY_DN2865_c3_g1_i6,-1.91117827333118
TRINITY_DN268_c0_g1::TRINITY_DN268_c0_g1_i1,-1.44991938065275
TRINITY_DN159_c0_g2::TRINITY_DN159_c0_g2_i2,2.84526867664224
TRINITY_DN30646_c0_g1::TRINITY_DN30646_c0_g1_i1,3.24324155943431
TRINITY_DN3821_c0_g1::TRINITY_DN3821_c0_g1_i2,2.24294786623551
TRINITY_DN2350_c0_g1::TRINITY_DN2350_c0_g1_i2,-0.874615589908398
TRINITY_DN6586_c0_g1::TRINITY_DN6586_c0_g1_i2,-1.53966527870442
TRINITY_DN1008_c0_g1::TRINITY_DN1008_c0_g1_i20,1.25599230158792
TRINITY_DN301_c0_g2::TRINITY_DN301_c0_g2_i1,2.15285691939232
TRINITY_DN2763_c0_g1::TRINITY_DN2763_c0_g1_i8,1.53771390121153
TRINITY_DN2763_c0_g1::TRINITY_DN2763_c0_g1_i13,1.53771390121153
TRINITY_DN2688_c1_g1::TRINITY_DN2688_c1_g1_i4,1.97768153635054
